Room,Desk_Number,Serials_File1,Serials_File2
,3134,"V90BY8YP, VTK61048",
,3135,"V3066GN6, V90C0ND7",
,3136,"V90BY8ZC, V90C0NCG",
,3137,"V305FCF0, V305WAA7",
,3138,"V90C0NDA, VNA3MGD0",
,3139,"V306V7T5, V90BY8ZB",
,3140,"V305WA99, V90BY907",
,3141,"V305WAKW, V306V6V3",
,3142,"V305MNM1, V90C0NCT",
,3143,"V306V6C2, V90C0NCL",
,3144,"V305WAA1, V307R74R",
Esfmanager,,V3066GNM,
Fimanager,,"V305FCFC, V306V6BZ, V307R7CA",
Honeycomb,,,0C0FK5
Hr,,"V305FCDA, V305FCH0, V305MNKX, V307PYPP, V90C0FGG, V90C0NB3, V90C0NE2, VNA45W7Y",
Hrmanager,,"V306V683, VNA2DLA9",
It,,,"V305PWWR, V305PWXD"
Itroom,,"V304L9RC, V304L9RL, V304LAL4, V3052P0A, V3052P0R, V305PWWR, V305PWXD, V305PZYD, V305WAAB, V306V6AF, V306V6C1, V306V6CM, V307PW9B, V307R6XW, V307R782, V307R7C7, V307R861, V90C0FHB, V90C0FHX, V90C0FK5, V90DFPYE, V90DFRYC",
Managerit,,"V306V67Y, V307R85L",
Managingdirector,,"V90CC0AW, V90CC0B1",
Nan,,"V305FCCK, V305FCDF, V305FCDN, V305FCDY, V305MNKK, V305MNKL, V305MNKR , V305MNKV, V305MNL0, V305MNL1, V305MNL2, V305MNL3, V305MNL4, V305MNLA, V305MNLL, V305MNM2, V305MNM8, V305MNW0, V305MNW2, V305MNW3, V305MNW4, V305MNW8, V305MNWB, V305MNWC, V305MNWG, V305N17M, V305N1FA, V305PWVW, V305PWW3, V305PWW6, V305PWW9, V305PWWA, V305PWWD, V305PWWF, V305PWWP, V305PWWT, V305PWWZ, V305PWX0, V305PWX2, V305PWX7, V305PWX8, V305PWX9, V305PWXF, V305PWXH, V305PWXM, V305PWXT, V305PWXX, V305PWXY, V305PWXZ, V305PXBN , V305PXF3, V305PXF4, V305PXF6, V305PZ45, V305PZV2, V305WA8H, V305WA8M, V305WA8P, V305WA8T, V305WA8X, V305WA8Z, V305WA91, V305WA94, V305WA96, V305WA98, V305WA9C, V305WA9K, V305WA9L, V305WA9T, V305WA9Y, V305WAA0, V305WAAA, V305WAAC, V305WAAH, V305WAAK, V305WAAL, V305WAAM, V305WAAV, V305WAAW, V305WAAZ, V305WAB5 , V305WAB6, V3066GMH, V3066GMZ, V3066GNC, V3066GPD, V306LKA4, V306V68N, V306V68V, V306V68Y, V306V68Z, V306V695, V306V697, V306V698, V306V6A9, V306V6AC, V306V6AW, V306V6AZ, V306V6B3, V306V6B5, V306V6B7, V306V6B8, V306V6BF, V306V6BL, V306V6BP, V306V6BV, V306V6BW, V306V6BX, V306V6CA, V306V6CZ, V306V6F1, V306V6G6, V306V6T4, V306V6TK, V30723W8, V307PVVR, V307PVW3, V307PVWC, V307PVX2, V307PVZH, V307PW5G, V307PW5L, V307PW98, V307PW99, V307PW9C, V307PWH3, V307PWK0, V307PWK7, V307PWK9, V307PWLB, V307PWT1, V307PX03, V307PX31, V307PX3B, V307PX9V, V307PXKT, V307PXRG, V307PXX6, V307PY2Y, V307PY56 , V307PY9Y, V307PYA5, V307PYCK, V307PYK0, V307PYK2, V307PYK3, V307PYK4, V307PYRT, V307PYT9, V307PYTF, V307PYVW, V307PYXN, V307PYXR, V307PYXT, V307PYXW, V307PYY7, V307PYY9, V307PYZ7, V307PYZD, V307PZ14, V307PZ1L, V307PZ25, V307PZ3W, V307PZVV, V307PZVW, V307R6XM, V307R6XP , V307R6XV, V307R6XX, V307R6XZ, V307R6Y0, V307R73X, V307R744, V307R74B, V307R74D, V307R74F, V307R74L, V307R74N, V307R74P, V307R74X , V307R74Y, V307R74Z, V307R750, V307R752, V307R753, V307R755, V307R75C, V307R763, V307R765, V307R767, V307R780, V307R784, V307R787, V307R78B, V307R797, V307R798, V307R79V, V307R7AB, V307R7AC, V307R7AD, V307R7AH, V307R7AL, V307R7AM, V307R7AN, V307R7AP, V307R7AR, V307R7AV, V307R7AW, V307R7AZ, V307R7B3, V307R7B4, V307R7B5, V307R7B9, V307R7BA, V307R7BB, V307R7BC, V307R7BH, V307R7BL, V307R7BM, V307R7BP, V307R7BR, V307R7BV, V307R7C0, V307R7C1, V307R7C2, V307R7C4, V307R7C5, V307R7C8, V307R7C9, V307R7CD, V307R7CK, V307R7CL, V307R7LB, V307R7N4, V307R83N, V307R85N, V307R85R, V307R85Y, V307R860, V307R862, V307R86P, V308ZB73, V308ZB78, V30A8XD8, V30AR3Y8, V30AR3Y9, V30AR3YC, V30AR3YF, V90C0EPL, V90C0FDK, V90C0FEG, V90C0FEH, V90C0FGD, V90C0FHN, V90C0FHP, V90C0FHV, V90C0FKA, V90C0FLM, V90C0N5X, V90C0NB5, V90C0ND3, V90C0ND8, V90DF5LB, V90DF5LY, V90DFPRW, V90DFPT0, V90DFPT1, V90DFPVD, V90DFPVF, V90DFPVG, V90DFPVH, V90DFPVK, V90DFPVN, V90DFPVR, V90DFPVT, V90DFPVV, V90DFPVW, V90DFPVX, V90DFPW1, V90DFPYA, V90DFPYC, V90DFPYD, V90DFPYK, V90DFRDY, V90DFRE0, V90DFRE3, V90DFRF3, V90DFRF5, V90DFRF7, V90EE2XH, VNA36PZ3, VNA36PZZ, VNA36R1K, VNA36R1X, VNA36R21, VNA36R26, VNA36R2F, VNA36R2W, VNA3FYCM, VNA3FYCX, VNA3FYDC, VNA3MXG7, VNA3P8F6, VNA3P8F7, VNA3P8FH, VNA3P8FK, VNA3P8FL, VNA3P8FN, VNA3P8FP, VNA3P8G6, VNA3P8GA, VNA3P8GH, VNA3PZBF, VNA3R15V, VNA3V2R3, VNA3V2R9, VNA3V2TK, VNA3V2TM, VNA3VWPR, VNA3VWPZ, VNA3VWR0, VNA3VWRB, VNA3VWRM, VNA3VWRV, VNA3VWRW, VNA3VWRX, VNA3VWRZ, VNA3VWT3, VNA3VWT8, VNA3VWT9, VNA3VXZ4, VNA3VXZN, VNA3VY0P, VNA45W70, VNA45W74, VNA45W75, VNA45W7A, VNA45W7N, VNA45W7R, VNA45W7T, VNA45W7V, VNA45W7W, VNA45W83, VNA45W85, VNA45W87, VNA45W8B, VNA45W8K, VNA45W8T, VNA45W8X, VNA4F4Z6, VNA4F4ZX, VNA4F501, VNA4F505, VNA4F50G, VNA4F50H, VTK61042, VTK61044, VTK61353",
Pietro-,1,"V304ARA5, V304C0BN, V3052NY8, V3052NZA, V3052P2F",
Rcmanager,,V307R7T0,
Recepcja,,"V30AR4RN, V30AR4T2",
Respect,,VNA3FYCP,
Rfmanager,,V90C0NB8,
Trust,,VNA3P8GG,
Vec,,"V305MNLH, V306V6TF, V90DFPWA",
